caldt,vwretd,sprtrn
2020-04-15,-0.021556,-0.022030
2020-04-16,0.006190,0.005817
2020-04-17,0.026322,0.026794
2020-04-20,-0.017771,-0.017881
2020-04-21,-0.030447,-0.030675
2020-04-22,0.022846,0.022930
2020-04-23,-0.000388,-0.000539
2020-04-24,0.013758,0.013918
2020-04-27,0.014428,0.014714
2020-04-28,-0.005305,-0.005242
2020-04-29,0.026208,0.026584
2020-04-30,-0.008936,-0.009212
2020-05-01,-0.027987,-0.028059
2020-05-04,0.004454,0.004250
2020-05-05,0.009042,0.009041
2020-05-06,-0.006842,-0.006979
2020-05-07,0.012070,0.011505
2020-05-08,0.017096,0.016872
2020-05-11,0.000148,0.000177
2020-05-12,-0.020425,-0.020544
2020-05-13,-0.017138,-0.017463
2020-05-14,0.011669,0.011525
2020-05-15,0.004270,0.003926
2020-05-18,0.031482,0.031501
2020-05-19,-0.010403,-0.010484
2020-05-20,0.016702,0.016651
2020-05-21,-0.007929,-0.007774
2020-05-22,0.002457,0.002354
2020-05-26,0.012164,0.012289
2020-05-27,0.014605,0.014827
2020-05-28,-0.001863,-0.002108
2020-05-29,0.004922,0.004812
2020-06-01,0.003979,0.003751
2020-06-02,0.008075,0.008211
2020-06-03,0.013602,0.013649
2020-06-04,-0.003255,-0.003369
2020-06-05,0.025805,0.026212
2020-06-08,0.012263,0.012042
2020-06-09,-0.007465,-0.007799
2020-06-10,-0.005108,-0.005313
2020-06-11,-0.058263,-0.058944
2020-06-12,0.013059,0.013061
2020-06-15,0.008464,0.008312
2020-06-16,0.018946,0.018962
2020-06-17,-0.003646,-0.003600
2020-06-18,0.000805,0.000594
2020-06-19,-0.005284,-0.005649
2020-06-22,0.006543,0.006495
2020-06-23,0.004316,0.004307
2020-06-24,-0.025571,-0.025855
2020-06-25,0.010927,0.010959
2020-06-26,-0.024285,-0.024227
2020-06-29,0.014740,0.014686
2020-06-30,0.015346,0.015410
2020-07-01,0.005266,0.005022
2020-07-02,0.004715,0.004541
2020-07-06,0.016070,0.015882
2020-07-07,-0.010446,-0.010819
2020-07-08,0.007812,0.007828
2020-07-09,-0.004930,-0.005644
2020-07-10,0.010600,0.010466
2020-07-13,-0.009530,-0.009363
2020-07-14,0.013302,0.013406
2020-07-15,0.008938,0.009082
2020-07-16,-0.003355,-0.003406
2020-07-17,0.002691,0.002849
2020-07-20,0.008785,0.008407
2020-07-21,0.001624,0.001679
2020-07-22,0.005591,0.005747
2020-07-23,-0.012421,-0.012320
2020-07-24,-0.006038,-0.006190
2020-07-27,0.007415,0.007395
2020-07-28,-0.006553,-0.006473
2020-07-29,0.012316,0.012428
2020-07-30,-0.003576,-0.003750
2020-07-31,0.007894,0.007670
2020-08-03,0.006842,0.007181
2020-08-04,0.003775,0.003612
2020-08-05,0.006357,0.006430
2020-08-06,0.006495,0.006428
2020-08-07,0.000845,0.000633
2020-08-10,0.002842,0.002742
2020-08-11,-0.008020,-0.007969
2020-08-12,0.014106,0.013997
2020-08-13,-0.001655,-0.002047
2020-08-14,-0.000052,-0.000172
2020-08-17,0.002937,0.002710
2020-08-18,0.002708,0.002303
2020-08-19,-0.004358,-0.004404
2020-08-20,0.003108,0.003159
2020-08-21,0.003508,0.003441
2020-08-24,0.010110,0.010044
2020-08-25,0.003522,0.003596
2020-08-26,0.010173,0.010196
2020-08-27,0.001848,0.001673
2020-08-28,0.006933,0.006733
2020-08-31,-0.002009,-0.002195
